,,0
675,Cat on a Hot Tin Roof,35
676,Nine,39
677,Hollywood Homicide,37
678,The First Wives Club,29
679,Capitalism: A Love Story,2
680,The Protector,26
681,Love the Coopers,20
682,Cursed,1
683,Fortress,12
684,A Hard Day's Night,29
685,The Age of Innocence,35
686,Halloween: The Curse of Michael Myers,5
687,Beerfest,20
688,Firestarter,37
689,The 51st State,27
690,Reindeer Games,37
691,Menace II Society,27
692,Alone in the Dark,34
693,To Die For,22
694,The Crying Game,18
695,The Ice Storm,30
696,Kicking & Screaming,15
697,The Three Burials of Melquiades Estrada,36
698,Nine 1/2 Weeks,35
699,World's Greatest Dad,13
700,Half Baked,11
701,Sorority Row,24
702,Red Tails,36
703,3000 Miles to Graceland,37
704,The Birth of a Nation,38
705,The Sessions,13
706,Hard Rain,27
707,Driven,14
708,Very Bad Things,6
709,MacGruber,15
710,Two Brothers,7
711,Love Happens,39
712,Basic Instinct 2,26
713,No Good Deed,34
714,The Good Girl,23
715,Fever Pitch,13
716,Idle Hands,6
717,Exorcist: The Beginning,37
718,Danny Collins,39
719,Pontypool,34
720,Bringing Down the House,29
721,Don Juan DeMarco,23
722,Halloween 5: The Revenge of Michael Myers,5
723,Porky's,29
724,High Crimes,18
725,Teenage Mutant Ninja Turtles III,3
726,Little Boy,13
727,Ice Princess,15
728,Miracles from Heaven,38
729,We Are Marshall,38
730,Get Rich or Die Tryin',38
731,Deconstructing Harry,11
732,The Flowers of War,36
733,The Majestic,35
734,Stuck on You,16
735,The Hunted,27
736,Thirteen Days,28
737,Raising Helen,16
738,Away We Go,13
739,The Andromeda Strain,37
740,My Blueberry Nights,39
741,Rock Star,23
742,Diary of the Dead,34
743,Friday the 13th Part VIII: Jason Takes Manhattan,5
744,15 Minutes,37
745,Boogeyman,24
746,Hang 'em High,14
747,Extract,31
748,Friday the 13th Part VII: The New Blood,5
749,Stone,9
750,Jason Goes to Hell: The Final Friday,27
751,The Fan,18
752,Happiness,35
753,Our Brand Is Crisis,39
754,I'm Not There.,38
755,Defendor,13
756,The American President,23
757,Transsiberian,26
758,Go,27
759,Message in a Bottle,35
760,Friday the 13th: A New Beginning,5
761,The Divide,36
762,Big Fat Liar,22
763,The Lawnmower Man,37
764,Harsh Times,26
765,Bound,18
766,A Night at the Roxbury,29
767,Original Sin,18
768,Breakdown,27
769,The Mighty Ducks,29
770,House of Sand and Fog,30
771,Anacondas: The Hunt for the Blood Orchid,12
772,Mars Needs Moms,32
773,Sleeper,11
774,The Last Temptation of Christ,30
775,Duplicity,8
776,Boiler Room,18
777,The Glass House,27
778,Hotel for Dogs,15
779,The Remains of the Day,35
780,Wyatt Earp,28
781,The Cave,34
782,The Brothers Bloom,20
783,The Last Exorcism Part II,24
784,History of the World: Part I,29
785,Dragonfly,0
786,DOA: Dead or Alive,19
787,Baby Mama,31
788,Instructions Not Included,39
789,The Reaping,24
790,Striptease,18
791,Rendition,36
792,Red Cliff,25
793,The General's Daughter,18
794,Red Sonja,3
795,2046,7
796,Gridiron Gang,36
797,Blood Work,18
798,The Last Legion,4
799,A Bridge Too Far,28
800,Chariots of Fire,30
801,"Paris, je t'aime",39
802,Ladder 49,37
803,Everything Must Go,13
804,The Devil's Double,26
805,Armored,19
806,Take Me Home Tonight,13
807,Halloween 4: The Return of Michael Myers,5
808,Beverly Hills Chihuahua,15
809,House on Haunted Hill,27
810,Lords of Dogtown,38
811,About Last Night,13
812,Kill List,4
813,Disclosure,18
814,Under Siege 2: Dark Territory,27
815,The Act of Killing,2
816,The Station Agent,11
817,Night Watch,33
818,Old Dogs,15
819,The Joneses,17
820,Dumb and Dumberer: When Harry Met Lloyd,29
821,Raise Your Voice,23
822,Hobo with a Shotgun,19
823,Hesher,9
824,Walk Hard: The Dewey Cox Story,31
825,Joyeux Noël,36
826,Congo,37
827,Stormbreaker,4
828,Without a Paddle,12
829,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,29
830,The Pledge,18
831,Battle for the Planet of the Apes,6
832,Red Dawn,37
833,Wild Target,15
834,Double Impact,37
835,Lions for Lambs,34
836,Seabiscuit,30
837,Friday the 13th Part VI: Jason Lives,5
838,Devil's Due,24
839,Major League,16
840,"Jeff, Who Lives at Home",17
841,The Prince,34
842,How High,29
843,The Proposition,19
844,The Innkeepers,24
845,The Sea Inside,30
846,Don't Say a Word,37
847,12 Rounds,36
848,My Best Friend's Girl,13
849,Whiteout,19
850,Yogi Bear,32
851,Mortal Kombat: Annihilation,12
852,Are We There Yet?,15
853,Soldier,12
854,Confessions of a Teenage Drama Queen,29
855,Howard the Duck,14
856,Date Movie,31
857,Money Train,22
858,Spy Kids: All the Time in the World,15
859,Diary of a Wimpy Kid: Dog Days,15
860,How Do You Know,39
861,Absolute Power,18
862,Deadfall,34
863,Mandela: Long Walk to Freedom,38
864,Hit & Run,13
865,Jaws: The Revenge,6
866,The Roommate,34
867,The Sentinel,25
868,Deuce Bigalow: European Gigolo,31
869,Guess Who,13
870,Barnyard,32
871,After the Sunset,23
872,The Squid and the Whale,17
873,Creepshow,7
874,Osmosis Jones,3
875,Halloween: Resurrection,5
876,Bad Company,37
877,Heaven is for Real,9
878,Halloween III: Season of the Witch,27
879,The Wedding Date,13
880,Jimmy Neutron: Boy Genius,3
881,Sling Blade,30
882,The Triplets of Belleville,22
883,Super Mario Bros.,3
884,My Name Is Khan,39
885,The Young and Prodigious T.S. Spivet,15
886,Courage Under Fire,18
887,Flash Gordon,14
888,The Soloist,38
889,The Longest Day,28
890,Notes on a Scandal,13
891,The Rainmaker,18
892,Fair Game,36
893,Sicko,2
894,The Right Stuff,30
895,Valiant,32
896,Sydney White,20
897,Cradle 2 the Grave,6
898,The Ghost and the Darkness,14
899,Blow Out,18
900,Conquest of the Planet of the Apes,6
901,Friday the 13th: The Final Chapter,5
902,Waiting...,31
903,The Kid,10
904,Untraceable,9
905,El Mariachi,12
